1,62
2,63
3,36
4,53
5,61
6,64
7,53
8,32
9,26
10,15
11,20
12,21
13,16
14,25
15,37
16,67
17,128
18,70
19,115
20,178
21,153
22,188
23,199
24,217
25,227
26,201
27,173
28,172
29,199
30,141
31,132
32,151
33,144
34,89
35,108
36,99
37,116
38,90
39,60
40,67
41,58
42,56
43,58
44,52
45,53
46,44
47,42
48,42
49,50
50,37
51,43
52,71
53,39
54,34
55,39
56,51
57,20
58,24
59,26
60,30
61,28
62,11
63,26
64,11
65,15
66,14
67,12
68,22
69,9
70,8
71,5
72,7
73,7
74,2
75,1
76,4
77,4
79,3
80,6
81,3
82,1
83,2
84,2
85,1
89,1
