1,74
2,62
3,28
4,57
5,65
6,65
7,45
8,21
9,32
10,11
11,18
12,19
13,18
14,18
15,45
16,57
17,116
18,68
19,110
20,143
21,153
22,186
23,220
24,222
25,243
26,187
27,217
28,183
29,201
30,156
31,139
32,126
33,122
34,107
35,113
36,105
37,110
38,100
39,69
40,58
41,64
42,51
43,56
44,61
45,42
46,41
47,51
48,31
49,31
50,30
51,47
52,54
53,58
54,41
55,40
56,42
57,36
58,30
59,29
60,24
61,31
62,15
63,24
64,7
65,15
66,12
67,1
68,25
69,8
70,3
71,3
72,6
73,9
74,6
75,2
76,7
77,2
79,3
80,4
82,3
83,1
84,2
85,1
87,1
89,2
