1,76
2,69
3,27
4,54
5,59
6,70
7,44
8,36
9,31
10,21
11,23
12,4
13,22
14,17
15,34
16,59
17,101
18,63
19,112
20,184
21,133
22,172
23,209
24,199
25,233
26,167
27,213
28,187
29,159
30,158
31,150
32,155
33,128
34,115
35,109
36,117
37,123
38,85
39,81
40,78
41,70
42,63
43,53
44,53
45,49
46,55
47,60
48,39
49,48
50,33
51,48
52,59
53,42
54,40
55,46
56,33
57,29
58,29
59,21
60,29
61,24
62,14
63,16
64,7
65,14
66,6
67,5
68,18
69,4
70,10
71,6
72,7
73,3
74,4
75,3
76,4
77,1
79,4
80,2
81,1
82,2
83,4
84,2
85,1
87,2
89,2
