1,72
2,62
3,30
4,66
5,67
6,54
7,37
8,30
9,32
10,18
11,25
12,12
13,17
14,24
15,24
16,69
17,111
18,72
19,120
20,151
21,135
22,172
23,196
24,214
25,232
26,184
27,192
28,174
29,176
30,163
31,146
32,144
33,132
34,102
35,103
36,111
37,110
38,95
39,92
40,69
41,74
42,60
43,58
44,57
45,58
46,58
47,46
48,38
49,43
50,38
51,42
52,68
53,50
54,34
55,48
56,46
57,28
58,28
59,25
60,31
61,23
62,10
63,22
64,3
65,20
66,12
67,9
68,11
69,10
70,3
71,8
72,2
73,10
74,4
75,2
76,2
77,3
79,3
80,3
81,4
82,3
83,1
84,2
85,1
87,5
