0,4105
1,2711
2,1552
3,589
4,3262
5,1285
6,1160
7,906
8,1321
9,1243
10,949
11,1226
12,919
13,768
14,980
15,1148
16,1768
17,2266
18,2163
19,2742
20,3377
21,3265
22,3641
23,3968
24,4630
25,4670
26,4963
27,4890
28,5178
29,5350
30,5650
31,5667
32,5291
33,5086
34,4881
35,4982
36,4828
37,4580
38,4642
39,4428
40,3769
41,3916
42,3567
43,3483
44,3012
45,3451
46,2802
47,2524
48,2352
49,2242
50,1993
51,1999
52,1769
53,1552
54,1575
55,1316
56,1231
57,1210
58,1225
59,1208
60,1924
61,4606
62,4424
63,4541
64,3702
65,4368
66,2791
67,3088
68,2464
69,2600
70,2690
71,2028
72,1959
73,1582
74,1467
75,1616
76,1346
77,1188
78,1042
79,1097
80,1013
81,746
82,637
83,491
84,485
85,509
86,307
87,362
88,237
89,154
90,236
91,160
92,125
93,70
94,63
95,40
96,41
97,20
98,24
99,28
