Image,Age3
5613.jpg,24.1785984039
5614.jpg,59.095199585
5615.jpg,39.8948173523
5616.jpg,24.419631958
5617.jpg,31.8059825897
5618.jpg,32.6899452209
5619.jpg,26.1209812164
5620.jpg,44.305267334
5621.jpg,23.1205234528
5622.jpg,56.3620223999
5623.jpg,49.5445899963
5624.jpg,30.596912384
5625.jpg,27.7274017334
5626.jpg,28.353351593
5627.jpg,36.7714042664
5628.jpg,69.318321228
5629.jpg,19.62317276
5630.jpg,29.5052146912
5631.jpg,43.2206344604
5632.jpg,36.8939781189
5633.jpg,34.6483879089
5634.jpg,24.2744960785
5635.jpg,31.1489067078
5636.jpg,36.5690078735
5637.jpg,8.5033349991
5638.jpg,26.7993755341
5639.jpg,51.3082313538
5640.jpg,26.619852066
5641.jpg,26.8023357391
5642.jpg,43.7382354736
5643.jpg,46.4253501892
5644.jpg,57.9913978577
5645.jpg,48.5401115417
5646.jpg,12.4280662537
5647.jpg,25.6910800934
5648.jpg,43.8454093933
5649.jpg,30.2013339996
5650.jpg,8.2909326553
5651.jpg,25.9395980835
5652.jpg,36.1883773804
5653.jpg,38.871509552
5654.jpg,27.9620800018
5655.jpg,36.3069915771
5656.jpg,32.2143592834
5657.jpg,33.588470459
5658.jpg,43.4354858398
5659.jpg,35.3552932739
5660.jpg,24.9801464081
5661.jpg,35.164855957
5662.jpg,35.8196792603
5663.jpg,51.3543281555
5664.jpg,31.2077922821
5665.jpg,28.7095775604
5666.jpg,48.4461250305
5667.jpg,40.0652389526
5668.jpg,30.3927783966
5669.jpg,4.722260952
5670.jpg,52.3078308105
5671.jpg,20.5499687195
5672.jpg,29.8493385315
5673.jpg,55.5161094666
5674.jpg,24.9008045197
5675.jpg,52.220085144
5676.jpg,34.367401123
5677.jpg,56.6358222961
5678.jpg,33.9471092224
5679.jpg,30.977684021
5680.jpg,34.7653770447
5681.jpg,43.0748634338
5682.jpg,27.7315864563
5683.jpg,22.6725196838
5684.jpg,31.0142974854
5685.jpg,23.3508300781
5686.jpg,26.3420772552
5687.jpg,38.226764679
5688.jpg,4.4451417923
5689.jpg,16.4131298065
5690.jpg,30.2302818298
5691.jpg,31.6067295074
5692.jpg,59.2521781921
5693.jpg,41.0785255432
5694.jpg,25.6006546021
5695.jpg,27.4481258392
5696.jpg,25.6258392334
5697.jpg,29.5451011658
5698.jpg,39.7784347534
5699.jpg,33.632434845
5700.jpg,66.759727478
5701.jpg,30.5743274689
5702.jpg,28.8476543427
5703.jpg,29.9701042175
5704.jpg,34.0000305176
5705.jpg,48.1779174805
5706.jpg,30.7412567139
5707.jpg,26.1497268677
5708.jpg,36.5452423096
5709.jpg,54.8900794983
5710.jpg,76.8040313721
5711.jpg,26.2715759277
5712.jpg,9.5064115524
5713.jpg,29.8871860504
5714.jpg,54.4769058228
5715.jpg,48.8371582031
5716.jpg,28.8415584564
5717.jpg,34.2500762939
5718.jpg,38.2581329346
5719.jpg,28.070066452
5720.jpg,27.2704277039
5721.jpg,36.608707428
5722.jpg,26.1819438934
5723.jpg,34.8426704407
5724.jpg,37.4986877441
5725.jpg,4.7341957092
5726.jpg,35.0469398499
5727.jpg,33.0927085876
5728.jpg,21.5199985504
5729.jpg,31.1546764374
5730.jpg,32.8733558655
5731.jpg,13.6279964447
5732.jpg,63.657535553
5733.jpg,43.2277679443
5734.jpg,47.8458938599
5735.jpg,20.8978099823
5736.jpg,47.1747322083
5737.jpg,21.3271369934
5738.jpg,30.988702774
5739.jpg,31.2528820038
5740.jpg,29.1955280304
5741.jpg,49.1531600952
5742.jpg,30.6305828094
5743.jpg,49.8137359619
5744.jpg,26.344581604
5745.jpg,49.8536186218
5746.jpg,59.3346252441
5747.jpg,29.8997993469
5748.jpg,29.9146099091
5749.jpg,40.5226478577
5750.jpg,31.4552974701
5751.jpg,27.4002418518
5752.jpg,39.319442749
5753.jpg,22.7041721344
5754.jpg,7.3936824799
5755.jpg,23.713186264
5756.jpg,27.3288078308
5757.jpg,27.4031505585
5758.jpg,8.0838489532
5759.jpg,42.2219276428
5760.jpg,31.9351940155
5761.jpg,52.3649368286
5762.jpg,32.8669319153
5763.jpg,33.2556610107
5764.jpg,19.8600025177
5765.jpg,36.8479423523
5766.jpg,31.2124328613
5767.jpg,37.101688385
5768.jpg,33.0622291565
5769.jpg,66.5031738281
5770.jpg,34.8861160278
5771.jpg,44.6815338135
5772.jpg,54.6974411011
5773.jpg,20.537279129
5774.jpg,41.6551055908
5775.jpg,53.6182250977
5776.jpg,46.1114730835
5777.jpg,35.1336174011
