Image,Age
5613.jpg,22.1632499695
5614.jpg,71.1540222168
5615.jpg,43.4134941101
5616.jpg,23.8821105957
5617.jpg,34.0271873474
5618.jpg,31.5154151917
5619.jpg,25.5595226288
5620.jpg,46.3247833252
5621.jpg,23.4727745056
5622.jpg,56.6651802063
5623.jpg,56.9147109985
5624.jpg,27.4259757996
5625.jpg,25.6178436279
5626.jpg,26.6144962311
5627.jpg,41.6224479675
5628.jpg,68.9288635254
5629.jpg,19.7284297943
5630.jpg,29.225894928
5631.jpg,46.7708320618
5632.jpg,31.7840690613
5633.jpg,34.2536430359
5634.jpg,20.8872337341
5635.jpg,36.2601852417
5636.jpg,20.1033573151
5637.jpg,37.4787063599
5638.jpg,27.5399703979
5639.jpg,38.3812179565
5640.jpg,35.4402160645
5641.jpg,19.3414840698
5642.jpg,46.3756561279
5643.jpg,53.460647583
5644.jpg,55.8367919922
5645.jpg,46.7742233276
5646.jpg,10.4077568054
5647.jpg,37.1628341675
5648.jpg,38.9854011536
5649.jpg,30.0984344482
5650.jpg,17.7649383545
5651.jpg,25.7444458008
5652.jpg,31.3068618774
5653.jpg,36.8180236816
5654.jpg,26.9197826385
5655.jpg,40.240650177
5656.jpg,25.5934486389
5657.jpg,35.2296142578
5658.jpg,45.1779327393
5659.jpg,39.2306022644
5660.jpg,25.9554901123
5661.jpg,25.861038208
5662.jpg,36.2486534119
5663.jpg,49.2771911621
5664.jpg,26.2107429504
5665.jpg,26.3093700409
5666.jpg,49.6737861633
5667.jpg,27.3987751007
5668.jpg,42.2860527039
5669.jpg,28.5819396973
5670.jpg,52.0972328186
5671.jpg,15.1653757095
5672.jpg,30.6130771637
5673.jpg,56.876750946
5674.jpg,28.0588722229
5675.jpg,49.4180107117
5676.jpg,40.2610473633
5677.jpg,60.9022827148
5678.jpg,37.6331787109
5679.jpg,31.5016098022
5680.jpg,30.3023376465
5681.jpg,43.7271156311
5682.jpg,31.0447921753
5683.jpg,23.9537525177
5684.jpg,32.0398635864
5685.jpg,26.6987686157
5686.jpg,27.5470161438
5687.jpg,39.1729125977
5688.jpg,4.9823708534
5689.jpg,22.9356002808
5690.jpg,33.9420433044
5691.jpg,31.758523941
5692.jpg,57.6581497192
5693.jpg,39.6546325684
5694.jpg,27.5229892731
5695.jpg,33.7887191772
5696.jpg,26.1957035065
5697.jpg,27.7506580353
5698.jpg,27.831193924
5699.jpg,36.0680961609
5700.jpg,28.5847949982
5701.jpg,31.0335121155
5702.jpg,32.4127464294
5703.jpg,32.3011398315
5704.jpg,35.855758667
5705.jpg,47.5131225586
5706.jpg,30.3989639282
5707.jpg,29.4596309662
5708.jpg,26.356584549
5709.jpg,56.9967880249
5710.jpg,75.1734466553
5711.jpg,26.0723800659
5712.jpg,8.0202007294
5713.jpg,29.2485218048
5714.jpg,54.322101593
5715.jpg,50.916431427
5716.jpg,28.1460380554
5717.jpg,36.3987922668
5718.jpg,40.6541748047
5719.jpg,41.6154975891
5720.jpg,26.3221092224
5721.jpg,39.7557296753
5722.jpg,29.853723526
5723.jpg,20.5710544586
5724.jpg,39.8937988281
5725.jpg,6.9297890663
5726.jpg,33.5896186829
5727.jpg,25.6218147278
5728.jpg,22.1997947693
5729.jpg,37.3644638062
5730.jpg,29.587677002
5731.jpg,19.428735733
5732.jpg,61.6059761047
5733.jpg,43.0978164673
5734.jpg,48.8794631958
5735.jpg,21.6419429779
5736.jpg,45.0355186462
5737.jpg,21.0152740479
5738.jpg,22.9491920471
5739.jpg,32.371219635
5740.jpg,27.5362510681
5741.jpg,37.125087738
5742.jpg,28.6995868683
5743.jpg,46.2050514221
5744.jpg,26.0763530731
5745.jpg,53.9032287598
5746.jpg,62.2693595886
5747.jpg,31.1870536804
5748.jpg,25.989358902
5749.jpg,37.30311203
5750.jpg,33.1847076416
5751.jpg,28.6617794037
5752.jpg,39.5007667542
5753.jpg,10.2133684158
5754.jpg,5.5907392502
5755.jpg,24.1571617126
5756.jpg,28.2705574036
5757.jpg,32.6373596191
5758.jpg,17.7387599945
5759.jpg,34.4047279358
5760.jpg,44.5933647156
5761.jpg,43.8258743286
5762.jpg,34.4741859436
5763.jpg,29.1170978546
5764.jpg,26.1453418732
5765.jpg,27.0047740936
5766.jpg,27.6303768158
5767.jpg,36.2099838257
5768.jpg,31.6858234406
5769.jpg,70.4882354736
5770.jpg,36.3544769287
5771.jpg,40.69764328
5772.jpg,61.1013641357
5773.jpg,11.5882673264
5774.jpg,38.5388221741
5775.jpg,53.4989128113
5776.jpg,41.3165245056
5777.jpg,38.86328125
5778.jpg,48.1167182922
5779.jpg,63.1762771606
5780.jpg,39.4455757141
5781.jpg,31.27693367
5782.jpg,56.0551109314
5783.jpg,22.9012718201
5784.jpg,32.8040733337
5785.jpg,24.0340442657
5786.jpg,47.3522834778
5787.jpg,41.0355491638
5788.jpg,38.4380760193
5789.jpg,56.2530937195
5790.jpg,22.2218780518
5791.jpg,24.355424881
5792.jpg,3.7233123779
5793.jpg,32.0839424133
5794.jpg,37.809589386
5795.jpg,47.6050491333
5796.jpg,23.3460273743
5797.jpg,32.7087745667
5798.jpg,39.7953605652
5799.jpg,36.3731918335
5800.jpg,1.7023992538
5801.jpg,29.4645881653
5802.jpg,49.336479187
5803.jpg,27.7724475861
5804.jpg,26.0463142395
