Image,Age4
5613.jpg,22.3822555542
5614.jpg,63.9857940674
5615.jpg,40.64427948
5616.jpg,23.467672348
5617.jpg,28.3195552826
5618.jpg,32.5455207825
5619.jpg,27.8889083862
5620.jpg,44.6464385986
5621.jpg,24.1278762817
5622.jpg,51.4919815063
5623.jpg,53.5420951843
5624.jpg,28.707244873
5625.jpg,26.285528183
5626.jpg,30.1073627472
5627.jpg,37.5145606995
5628.jpg,67.4383163452
5629.jpg,20.2401638031
5630.jpg,27.6315746307
5631.jpg,38.4008674622
5632.jpg,34.6999855042
5633.jpg,35.8771972656
5634.jpg,24.3432788849
5635.jpg,37.6349601746
5636.jpg,24.1057510376
5637.jpg,41.5768013
5638.jpg,29.4986953735
5639.jpg,48.2333068848
5640.jpg,33.1634254456
5641.jpg,12.775056839
5642.jpg,51.9822921753
5643.jpg,54.6694641113
5644.jpg,58.810546875
5645.jpg,41.9500389099
5646.jpg,22.0121097565
5647.jpg,29.4247303009
5648.jpg,43.8313674927
5649.jpg,30.9760189056
5650.jpg,12.0248603821
5651.jpg,27.1677093506
5652.jpg,34.1863517761
5653.jpg,27.5026988983
5654.jpg,24.4731693268
5655.jpg,39.4142379761
5656.jpg,26.6663761139
5657.jpg,35.0051231384
5658.jpg,46.2849311829
5659.jpg,38.9567909241
5660.jpg,27.3550605774
5661.jpg,30.1427707672
5662.jpg,33.1039390564
5663.jpg,42.5668449402
5664.jpg,31.3304176331
5665.jpg,29.006362915
5666.jpg,48.2122764587
5667.jpg,27.0439586639
5668.jpg,42.1067886353
5669.jpg,32.9790382385
5670.jpg,51.8805236816
5671.jpg,22.8758296967
5672.jpg,26.551279068
5673.jpg,54.1011886597
5674.jpg,29.8091983795
5675.jpg,48.4817848206
5676.jpg,38.3637275696
5677.jpg,59.1218833923
5678.jpg,35.6702270508
5679.jpg,26.4697227478
5680.jpg,32.5759811401
5681.jpg,44.8782234192
5682.jpg,50.1835899353
5683.jpg,24.9553489685
5684.jpg,32.9350662231
5685.jpg,23.1923789978
5686.jpg,23.7237434387
5687.jpg,41.099029541
5688.jpg,2.1377804279
5689.jpg,19.3987903595
5690.jpg,31.6825904846
5691.jpg,30.1681060791
5692.jpg,54.8350753784
5693.jpg,33.7639389038
5694.jpg,21.599407196
5695.jpg,31.0303573608
5696.jpg,30.7597255707
5697.jpg,32.1921730042
5698.jpg,39.0190353394
5699.jpg,39.277557373
5700.jpg,38.9864959717
5701.jpg,33.41198349
5702.jpg,36.2387580872
5703.jpg,61.9546966553
5704.jpg,34.7381401062
5705.jpg,46.0687179565
5706.jpg,32.046295166
5707.jpg,24.8679332733
5708.jpg,34.9807052612
5709.jpg,58.8779678345
5710.jpg,69.9493255615
5711.jpg,24.1357765198
5712.jpg,6.9717636108
5713.jpg,30.6491374969
5714.jpg,53.9211463928
5715.jpg,51.2855110168
5716.jpg,28.0323352814
5717.jpg,38.954284668
5718.jpg,39.2628631592
5719.jpg,34.4234352112
5720.jpg,23.4087257385
5721.jpg,39.3912239075
5722.jpg,37.222782135
5723.jpg,20.9469680786
5724.jpg,38.7736701965
5725.jpg,7.4785523415
5726.jpg,35.0486068726
5727.jpg,27.7250213623
5728.jpg,21.8240356445
5729.jpg,32.9641342163
5730.jpg,31.9021453857
5731.jpg,18.3755378723
5732.jpg,59.5556030273
5733.jpg,41.8066749573
5734.jpg,47.8732070923
5735.jpg,21.9982814789
5736.jpg,45.4354095459
5737.jpg,21.6311531067
5738.jpg,29.2735900879
5739.jpg,31.5449886322
5740.jpg,28.5839614868
5741.jpg,50.7853660583
5742.jpg,22.247592926
5743.jpg,42.4926452637
5744.jpg,23.7371273041
5745.jpg,50.1907043457
5746.jpg,59.0776634216
5747.jpg,30.5676174164
5748.jpg,23.1267318726
5749.jpg,36.6957702637
5750.jpg,39.0137252808
5751.jpg,31.924987793
5752.jpg,39.9775657654
5753.jpg,9.6057796478
5754.jpg,8.5862131119
5755.jpg,22.0511035919
5756.jpg,28.1112174988
5757.jpg,29.1794376373
5758.jpg,14.7392864227
5759.jpg,35.3399620056
5760.jpg,39.2208404541
5761.jpg,51.7183074951
5762.jpg,48.446723938
5763.jpg,30.0682926178
5764.jpg,29.5242023468
5765.jpg,26.799571991
5766.jpg,26.9334831238
5767.jpg,37.3559875488
5768.jpg,27.3359451294
5769.jpg,70.5629501343
5770.jpg,33.1252555847
5771.jpg,42.3453559875
5772.jpg,62.735244751
5773.jpg,25.3730869293
5774.jpg,38.2423362732
5775.jpg,53.5610275269
5776.jpg,58.3092689514
5777.jpg,38.5832710266
5778.jpg,51.2013435364
5779.jpg,44.6251831055
5780.jpg,33.4358520508
5781.jpg,29.3127193451
5782.jpg,57.8255996704
5783.jpg,26.3714580536
5784.jpg,27.1043796539
5785.jpg,24.2192764282
5786.jpg,53.2958106995
5787.jpg,41.3069267273
5788.jpg,27.7655963898
5789.jpg,54.1276702881
5790.jpg,21.2533740997
5791.jpg,23.735124588
5792.jpg,3.6906592846
5793.jpg,34.9613494873
5794.jpg,46.7484855652
5795.jpg,46.3038749695
5796.jpg,32.2095298767
5797.jpg,32.9668960571
5798.jpg,31.7201824188
5799.jpg,36.2567596436
